trade_type,fiber_type,year,month,value,monthly_avg,yearly_above,monthly_above,value_below,value_above,value_below_adj,value_net_above,average_net_adjusted
import,cotton,2020,1,718.769,721.794,-805.78,-3.025,3.025,0,0,718.769,3.025
import,cotton,2020,2,642.261,721.794,-805.78,-79.533,79.533,0,2.768,642.261,76.765
import,cotton,2020,3,578.028,721.794,-805.78,-143.766,143.766,0,67.001,578.028,76.765
import,cotton,2020,4,426.666,721.794,-805.78,-295.128,295.128,0,218.363,426.666,76.765
import,cotton,2020,5,302.592,721.794,-805.78,-419.202,419.202,0,342.437,302.592,76.765
import,cotton,2020,6,469.817,721.794,-805.78,-251.977,251.977,0,175.212,469.817,76.765
import,cotton,2020,7,705.52,721.794,-805.78,-16.274,16.274,0,0,705.52,16.274
import,cotton,2020,8,792.213,721.794,-805.78,70.419,0,70.419,0,721.794,0
import,cotton,2020,9,805.875,721.794,-805.78,84.081,0,84.081,0,721.794,0
import,cotton,2020,10,903.887,721.794,-805.78,182.094,0,182.094,0,721.793,0
import,cotton,2020,11,786.827,721.794,-805.78,65.033,0,65.033,0,721.794,0
import,cotton,2020,12,723.292,721.794,-805.78,1.498,0,1.498,0,721.794,0
import,wool,2020,1,34.663,39.235,-101.907,-4.573,4.573,0,3.05,34.663,1.522
import,wool,2020,2,29.763,39.235,-101.907,-9.472,9.472,0,7.95,29.763,1.522
import,wool,2020,3,26.772,39.235,-101.907,-12.464,12.464,0,10.941,26.772,1.522
import,wool,2020,4,18.384,39.235,-101.907,-20.851,20.851,0,19.329,18.384,1.522
import,wool,2020,5,11.852,39.235,-101.907,-27.383,27.383,0,25.861,11.852,1.522
import,wool,2020,6,19.056,39.235,-101.907,-20.179,20.179,0,18.657,19.056,1.522
import,wool,2020,7,31.673,39.235,-101.907,-7.562,7.562,0,6.04,31.673,1.522
import,wool,2020,8,40.724,39.235,-101.907,1.489,0,1.489,0,39.235,0
import,wool,2020,9,45.55,39.235,-101.907,6.315,0,6.315,0,39.235,0
import,wool,2020,10,45.13,39.235,-101.907,5.895,0,5.895,0,39.235,0
import,wool,2020,11,34.763,39.235,-101.907,-4.472,4.472,0,2.95,34.763,1.522
import,wool,2020,12,30.585,39.235,-101.907,-8.65,8.65,0,7.128,30.585,1.522
import,synthetic,2020,1,857.681,748.57,951.747,109.111,0,109.111,0,748.57,0
import,synthetic,2020,2,695.467,748.57,951.747,-53.103,53.103,0,0,695.467,53.103
import,synthetic,2020,3,569.921,748.57,951.747,-178.649,178.649,0,0,569.921,178.649
import,synthetic,2020,4,535.803,748.57,951.747,-212.767,212.767,0,0,535.803,212.767
import,synthetic,2020,5,492,748.57,951.747,-256.57,256.57,0,0,492,256.57
import,synthetic,2020,6,698.268,748.57,951.747,-50.302,50.302,0,0,698.268,50.302
import,synthetic,2020,7,919.593,748.57,951.747,171.024,0,171.024,0,748.569,0
import,synthetic,2020,8,1078.067,748.57,951.747,329.497,0,329.497,0,748.57,0
import,synthetic,2020,9,1081.841,748.57,951.747,333.271,0,333.271,0,748.57,0
import,synthetic,2020,10,1134.559,748.57,951.747,385.989,0,385.989,0,748.57,0
import,synthetic,2020,11,977.206,748.57,951.747,228.637,0,228.637,0,748.569,0
import,synthetic,2020,12,894.178,748.57,951.747,145.608,0,145.608,0,748.57,0
export,cotton,2020,1,133.332,139.123,-571.52,-5.791,5.791,0,5.791,133.332,0
export,cotton,2020,2,127.471,139.123,-571.52,-11.651,11.651,0,11.651,127.471,0.001
